"YEAR";"AGE_first";"MIGRATION";"CIinf";"CIquart_inf";"med";"CIquart_sup";"CIsup";"HABITAT"
2016;"AD";"Long";0,0931140988372093;0,108774038461538;0,16025641025641;0,171474358974359;0,204326923076923;"Aquatique"
2017;"AD";"Long";0,0467229072031149;0,0634920634920635;0,0888888888888889;0,114285714285714;0,163033522623191;"Aquatique"
2018;"AD";"Long";0;0;0,0961538461538462;0,181818181818182;0,205704365079365;"Aquatique"
2019;"AD";"Long";0;0;0;0;0,0807692307692308;"Aquatique"
2003;"JUV";"Long";0;0;0;0;0;"Aquatique"
2005;"JUV";"Long";0,00468749999999998;0,046875;0,09375;0,140625;0,1828125;"Aquatique"
2007;"JUV";"Long";0;0;0;0;0;"Aquatique"
2008;"JUV";"Long";0,00147058823529411;0,0147058823529412;0,0294117647058824;0,0441176470588235;0,0573529411764706;"Aquatique"
2009;"JUV";"Long";0,00172413793103448;0,0172413793103448;0,0344827586206897;0,0517241379310345;0,0672413793103448;"Aquatique"
2010;"JUV";"Long";0,00454545454545454;0,0454545454545455;0,0803030303030303;0,129347826086957;0,208586956521739;"Aquatique"
2011;"JUV";"Long";0;0;0;0,0333333333333333;0,123333333333333;"Aquatique"
2012;"JUV";"Long";0,0526315789473684;0,0526315789473684;0,0526315789473684;0,0526315789473684;0,0526315789473684;"Aquatique"
2013;"JUV";"Long";0,0789473684210526;0,0789473684210526;0,0789473684210526;0,0789473684210526;0,0789473684210526;"Aquatique"
2014;"JUV";"Long";0;0;0,0227272727272727;0,0606060606060606;0,0692185007974482;"Aquatique"
2015;"JUV";"Long";0;0;0;0,0833333333333333;0,120833333333333;"Aquatique"
2016;"JUV";"Long";0;0;0;0;0;"Aquatique"
2017;"JUV";"Long";0;0;0;0,0285714285714286;0,0583333333333333;"Aquatique"
2018;"JUV";"Long";0;0;0;0;0,0135593220338983;"Aquatique"
2019;"JUV";"Long";0;0;0;0;0;"Aquatique"
